ts,open,high,low,close,volume
1769316000000,2948.57,2948.74,2947.4,2947.46,41.03607
1769316300000,2947.46,2948.36,2947.31,2947.44,66.06295
1769316600000,2947.44,2947.59,2946.73,2946.73,29.02959
1769316900000,2946.73,2947.15,2945.24,2945.45,51.90689
1769317200000,2945.45,2945.45,2944.41,2945.05,88.75537
1769317500000,2945.05,2946.79,2944.72,2946.79,34.48025
1769317800000,2946.79,2948.69,2946.79,2948.43,81.67204
1769318100000,2948.43,2948.88,2946.93,2947.06,61.75627
1769318400000,2947.06,2947.38,2946.68,2946.68,39.44467
1769318700000,2946.68,2947.86,2946.57,2947.63,57.29594
1769319000000,2947.63,2948.0,2943.41,2944.33,143.48
1769319300000,2944.33,2945.63,2944.14,2944.59,62.65031
1769319600000,2944.59,2944.6,2942.23,2943.15,156.09928
1769319900000,2943.15,2946.63,2942.53,2946.63,349.81839
1769320200000,2946.63,2947.26,2945.67,2947.25,48.3643
1769320500000,2947.25,2947.95,2947.06,2947.28,34.44285
1769320800000,2947.28,2947.29,2944.91,2945.08,60.48807
1769321100000,2945.08,2945.08,2940.55,2941.36,177.54241
1769321400000,2941.36,2942.34,2935.75,2937.02,397.28517
1769321700000,2937.02,2939.48,2934.18,2938.66,226.58381
1769322000000,2938.66,2940.83,2937.6,2939.78,129.5757
1769322300000,2939.78,2940.11,2939.01,2939.01,46.69051
1769322600000,2939.01,2942.16,2939.01,2939.8,128.91729
1769322900000,2939.8,2941.01,2936.78,2937.41,96.19122
1769323200000,2937.41,2947.8,2937.41,2946.67,328.43091
1769323500000,2946.67,2946.68,2943.28,2944.67,152.31347
1769323800000,2944.67,2944.79,2943.57,2943.89,61.30276
1769324100000,2943.89,2944.43,2943.61,2944.33,24.42945
1769324400000,2944.33,2944.33,2943.0,2943.01,40.72436
1769324700000,2943.01,2943.36,2940.63,2941.12,64.17106
1769325000000,2941.12,2942.41,2939.33,2939.63,110.47303
1769325300000,2939.63,2940.83,2938.5,2938.5,93.98502
1769325600000,2938.5,2942.15,2938.5,2942.15,118.01738
1769325900000,2942.15,2943.95,2941.8,2943.68,72.18237
1769326200000,2943.68,2943.68,2942.28,2942.69,95.23958
1769326500000,2942.69,2943.61,2942.34,2943.61,89.3155
1769326800000,2943.61,2943.96,2940.92,2940.93,73.3916
1769327100000,2940.93,2941.68,2940.16,2940.16,45.61049
1769327400000,2940.16,2941.75,2939.84,2940.79,108.44819
1769327700000,2940.79,2940.79,2938.87,2939.83,149.33862
1769328000000,2939.83,2942.17,2939.05,2941.15,269.59472
1769328300000,2941.15,2943.27,2940.95,2942.85,78.27495
1769328600000,2942.85,2944.4,2942.72,2943.86,93.70282
1769328900000,2943.86,2944.27,2942.77,2942.77,70.58152
1769329200000,2942.77,2945.29,2942.64,2945.01,328.28794
1769329500000,2945.01,2945.69,2942.0,2942.0,87.11403
1769329800000,2942.0,2942.45,2941.12,2941.44,124.81114
1769330100000,2941.44,2942.63,2929.01,2931.72,1235.55655
1769330400000,2931.72,2933.48,2920.83,2931.97,1115.81822
1769330700000,2931.97,2931.97,2924.75,2929.53,502.63464
1769331000000,2929.53,2933.53,2929.23,2932.51,488.91725
1769331300000,2932.51,2933.6,2929.0,2929.0,271.37049
1769331600000,2929.0,2932.57,2926.72,2929.5,253.18131
1769331900000,2929.5,2931.74,2927.1,2931.74,247.65043
1769332200000,2931.74,2932.89,2931.16,2932.35,126.05505
1769332500000,2932.35,2934.08,2931.35,2932.34,178.25466
1769332800000,2932.34,2935.1,2932.34,2934.96,166.95446
1769333100000,2934.96,2936.74,2932.73,2935.61,520.25453
1769333400000,2935.61,2936.57,2934.89,2936.41,103.5006
1769333700000,2936.41,2938.03,2933.43,2938.02,223.60993
1769334000000,2938.02,2939.69,2937.87,2939.11,148.95364
1769334300000,2939.11,2939.41,2936.55,2936.99,308.57235
1769334600000,2936.99,2937.38,2936.11,2936.75,85.73608
1769334900000,2936.75,2936.92,2935.66,2935.84,56.60522
1769335200000,2935.84,2937.66,2935.84,2936.91,75.60997
1769335500000,2936.91,2939.05,2936.44,2938.46,94.36521
1769335800000,2938.46,2940.8,2938.29,2939.04,141.57547
1769336100000,2939.04,2940.56,2937.65,2937.94,118.3498
1769336400000,2937.94,2944.86,2937.94,2943.74,336.59512
1769336700000,2943.74,2947.45,2942.7,2946.57,355.16519
1769337000000,2946.57,2948.55,2943.6,2943.87,339.51663
1769337300000,2943.87,2945.24,2940.88,2942.29,505.84295
1769337600000,2942.29,2945.18,2942.29,2945.17,99.33061
1769337900000,2945.17,2945.35,2942.64,2943.41,81.45958
1769338200000,2943.41,2945.81,2942.09,2945.8,99.2782
1769338500000,2945.8,2946.78,2945.21,2945.28,102.68751
1769338800000,2945.28,2945.28,2941.59,2942.13,159.78722
1769339100000,2942.13,2943.1,2940.26,2941.49,95.71682
1769339400000,2941.49,2943.0,2941.43,2941.73,34.11356
1769339700000,2941.73,2943.42,2941.5,2943.42,34.90542
1769340000000,2943.42,2946.73,2942.22,2943.15,271.53779
1769340300000,2943.15,2944.37,2943.15,2944.35,24.28307
1769340600000,2944.35,2945.12,2943.25,2945.12,107.22148
1769340900000,2945.12,2945.47,2937.2,2937.43,318.70529
1769341200000,2937.43,2939.5,2934.63,2935.44,380.39688
1769341500000,2935.44,2938.22,2933.87,2937.31,140.72228
1769341800000,2937.31,2937.4,2932.54,2933.32,274.01371
1769342100000,2933.32,2937.98,2932.53,2937.58,303.02197
1769342400000,2937.58,2938.67,2933.1,2935.41,182.06424
1769342700000,2935.41,2938.45,2935.41,2938.11,156.66633
1769343000000,2938.11,2940.18,2937.15,2940.17,160.09964
1769343300000,2940.17,2941.37,2933.44,2934.7,363.99809
1769343600000,2934.7,2941.43,2932.64,2940.95,331.21845
1769343900000,2940.95,2945.0,2938.22,2939.3,433.4118
1769344200000,2939.3,2939.59,2937.46,2938.04,122.1567
1769344500000,2938.04,2940.36,2938.03,2939.78,195.20254
1769344800000,2939.78,2941.81,2939.17,2941.14,116.87681
1769345100000,2941.14,2941.78,2939.48,2940.57,178.94119
1769345400000,2940.57,2942.43,2938.8,2941.64,173.71821
1769345700000,2941.64,2943.63,2941.62,2942.84,120.18511
1769346000000,2942.84,2944.4,2941.82,2942.82,132.35062
1769346300000,2942.82,2945.0,2940.0,2941.3,181.40329
1769346600000,2941.3,2942.52,2940.0,2940.11,107.73079
1769346900000,2940.11,2941.91,2938.26,2941.86,126.82155
1769347200000,2941.86,2942.54,2940.27,2940.37,450.13013
1769347500000,2940.37,2940.95,2936.0,2936.56,221.78518
1769347800000,2936.56,2939.5,2935.35,2939.49,124.30183
1769348100000,2939.49,2941.84,2939.29,2940.84,121.55601
1769348400000,2940.84,2943.58,2940.84,2941.63,113.56919
1769348700000,2941.63,2943.88,2941.07,2943.12,161.80437
1769349000000,2943.12,2945.92,2942.63,2943.37,208.98093
1769349300000,2943.37,2943.39,2941.92,2941.92,113.40081
1769349600000,2941.92,2943.06,2935.91,2938.22,280.90735
1769349900000,2938.22,2939.37,2937.51,2937.51,135.08011
1769350200000,2937.51,2938.93,2936.41,2938.59,125.48114
1769350500000,2938.59,2940.41,2934.71,2934.72,164.47225
1769350800000,2934.72,2935.96,2927.56,2929.23,688.3477
1769351100000,2929.23,2932.66,2924.88,2929.68,644.37665
1769351400000,2929.68,2931.12,2925.24,2930.57,323.55712
1769351700000,2930.57,2933.18,2930.57,2932.52,168.18708
1769352000000,2932.52,2932.52,2928.53,2928.99,180.70197
1769352300000,2928.99,2929.21,2925.47,2926.58,414.0675
1769352600000,2926.58,2933.03,2926.48,2932.53,329.03267
1769352900000,2932.53,2934.03,2932.1,2932.82,132.53672
1769353200000,2932.82,2933.32,2930.09,2933.12,140.58992
1769353500000,2933.12,2934.49,2931.87,2933.95,117.05671
1769353800000,2933.95,2934.95,2933.82,2934.27,61.35698
1769354100000,2934.27,2936.41,2931.02,2931.17,248.27244
1769354400000,2931.17,2933.04,2929.21,2930.08,140.70793
1769354700000,2930.08,2935.06,2929.69,2934.89,148.61909
1769355000000,2934.89,2934.89,2931.3,2931.3,82.98751
1769355300000,2931.3,2932.93,2931.16,2931.56,98.99115
1769355600000,2931.56,2932.95,2930.86,2931.72,135.59841
1769355900000,2931.72,2932.06,2928.64,2929.58,142.05518
1769356200000,2929.58,2931.2,2922.12,2924.22,299.31503
1769356500000,2924.22,2927.2,2923.1,2927.12,258.9976
1769356800000,2927.12,2928.11,2905.49,2915.43,2038.74723
1769357100000,2915.43,2916.22,2902.84,2908.72,2618.57424
1769357400000,2908.72,2914.5,2899.84,2902.93,1700.27277
1769357700000,2902.93,2904.32,2885.25,2890.84,1824.71814
1769358000000,2890.84,2894.65,2876.2,2894.57,1790.62972
1769358300000,2894.57,2896.67,2886.33,2890.96,1260.29835
1769358600000,2890.96,2894.88,2880.17,2885.11,1208.95288
1769358900000,2885.11,2893.62,2883.41,2892.71,557.2797
1769359200000,2892.71,2897.99,2888.96,2890.97,612.40366
1769359500000,2890.97,2894.63,2887.64,2891.54,516.29745
1769359800000,2891.54,2899.1,2891.34,2897.49,704.67377
1769360100000,2897.49,2899.2,2895.16,2897.0,419.10999
1769360400000,2897.0,2898.66,2892.01,2894.55,645.08781
1769360700000,2894.55,2894.81,2887.98,2891.53,472.23069
